date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:38:13	2759/2759	---M--	200	added ('OK')	image/png	etag:%2263daf194-ac7%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-2.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-2.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:14	2879/2879	---M--	200	added ('OK')	image/png	etag:%2263daf194-b3f%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-3.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-3.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:16	7541/7541	---M--	200	added ('OK')	image/png	etag:%2263daf194-1d75%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-4.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-4.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:17	7553/7553	---M--	200	added ('OK')	image/png	etag:%2263daf194-1d81%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-5.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-5.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:18	10840/10840	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263daf194-2a58%22	http://super-mario3d-world.net/assets/img/bowsers-fury/icon-cat.svg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/icon-cat.svg	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:35	99997/99997	---M--	200	added ('OK')	image/png	etag:%2263daf194-1869d%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/giga-cat-mario.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/giga-cat-mario.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:38	11511/11511	---M--	200	added ('OK')	image/png	etag:%2263daf194-2cf7%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/cat-koopa-troopa.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/cat-koopa-troopa.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:39	3528/3528	---M--	200	added ('OK')	image/png	etag:%2263daf194-dc8%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/cat-goomba.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-giga/cat-goomba.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:53	78310/78310	---M--	200	added ('OK')	image/png	etag:%2263daf194-131e6%22	http://super-mario3d-world.net/assets/img/bowsers-fury/multiplayer/mario-bowser-jr.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/multiplayer/mario-bowser-jr.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:23	1300461/1300461	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-13d7ed%22	http://super-mario3d-world.net/assets/videos/bowsers-fury/BowsersFury2P_7sec_624x351.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/bowsers-fury/BowsersFury2P_7sec_624x351.mp4	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:30	38725/38725	---M--	200	added ('OK')	image/jpeg	etag:%2263daf192-9745%22	http://super-mario3d-world.net/assets/img/bowsers-fury/BowsersFury2P-7sec.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/BowsersFury2P-7sec.jpg	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:35	1928920/1928920	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-1d6ed8%22	http://super-mario3d-world.net/assets/videos/bowsers-fury/background-l.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/bowsers-fury/background-l.mp4	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:36	32868/32868	---M--	200	added ('OK')	image/png	etag:%2263daf194-8064%22	http://super-mario3d-world.net/assets/img/bowsers-fury/multiplayer/cat-biddybud.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/multiplayer/cat-biddybud.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:48	73100/73100	---M--	200	added ('OK')	image/png	etag:%2263daf192-11d8c%22	http://super-mario3d-world.net/assets/img/bowsers-fury/amiibo/bowser-jr-amiibo.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/amiibo/bowser-jr-amiibo.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:42:54	113398/113398	---M--	200	added ('OK')	image/png	etag:%2263daf192-1baf6%22	http://super-mario3d-world.net/assets/img/bowsers-fury/amiibo/bowser-amiibo.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/amiibo/bowser-amiibo.png	(from http://super-mario3d-world.net/bowsers-fury/)
